ErrProviderName宏定义,ErrProviderName名字,注释,
ACS_PROCESSOR,acsprocessor,acsprocessor 错误提供者,
,,,
异常宏定义,异常ID,注释,HTTP错误码
INVALID_CSF_DOC_LEVEL,0x00001068L,非法的文档机密等级,400000000
ERR_DEVICE_FORCE_LOG_OFF,0x00001069L,该设备被强制下线,401001025
ERR_DISABLED_USER,0x0000106AL,用户已被禁用,401001004
ERR_INSUFFICIENT_SYSTEM_RESOURCES,0x0000106BL,系统资源不足,404001027

NOTIFY_SEND_ERROR,0x00001070L,通知发送失败,500000000
GET_TRI_SYSTEM_STATUS_ERROR,0x00001071L,获取权重分离状态失败,500000000
GET_FILE_CSF_LEVEL_ERROR,0x00001072L,获取文件密级失败,500000000
ERR_RESTRICTED_LOGIN_IP,0x00001073L,ip被限制登录,401001031
GET_SYSLOG_UPLOAD_STATUS_ERROR,0x00001074L,获取syslog上传状态失败,500000000
ERR_LOGIN_OSTYPE_FORBID,0x00001075L,管理员已禁止此类客户端登录,401001033
PUSH_MESSAGE_TO_THIRD_PARTY_ERROR,0x00001076L,推送消息至第三方应用失败,500000000
CHECK_IP_ERROR,0x00001077L,检查ip限制失败,500000000
LOGOUT_BECAUSE_SWITCH_NETWORK,0x00001078L,内外网切换退出登录,401001036
SEND_SHARE_MAIL_ERROR, 0x00001079L,发送共享邮件失败,500000000

FAILED_TO_CREATE_DB_MESSAGE_MANANGER,0x00001080L,无法创建dbmessage实例,500000000
FAILED_TO_CREATE_EVFS_OTAG_IOC,0x00001081L,无法创建evfsotagioc实例,500000000
FAILED_TO_CREATE_EOFS_QUERY_IOC,0x00001082L,无法创建eofsqueryioc实例,500000000
FAILED_TO_CREATE_DB_AUDIT_MANANGER,0x00001083L,无法创建dbaudit实例,500000000
FAILED_TO_CREATE_ACS_PROCESSORIOC,0x00001084L,无法创建acsprocessorioc实例,500000000
NO_AUDITOR,0x00001086L,没有审核员无法提交申请,403001094
INVALID_APPLY_INFO,0x00001089L,非法的申请记录,500000000
FAILED_TO_CREATE_ACS_MESSAGE_MANANGER,0x0000108AL,无法创建acsmessage,500000000
CHECK_PERMISSION_FAILED,0x0000108EL,没有权限操作对应的文档对象,403001002
COPY_WITHOUT_PERMCHECK_ERROR,0x00001090L,内部拷贝失败,500000000
GET_DIR_CSF_LEVEL_ERROR,0x00001091L,获取文件(夹)密级失败,500000000
DOCUMENT_PROCESS_NOT_EXIST,0x00001095L,文档流程不存在,403001110
CANT_PUBLISH_CID_OBJECT,0x00001098L,不能对CID进行发布文档,403001115
COPY_WITHOUT_PERMCHECK_ERROR_QUOTA_NOT_ENOUGH,0x0000109EL,无法进行审批（目的文档路径配额不足）,403002001
CONVERT_PATH_INFO_ERROR,0x0000109FL,无法转换文档路径信息,500000000
DOC_EXCHANGE_PROCESS_MAST_SET_DST_DOC_NAME,0x00001018L,发布流程失败(未设置目的文档名),403001121
DOC_EXCHANGE_PROCESS_CHECK_LIMIT_SCOPE_FAILED,0x00001019L,发布流程失败(不在目录范围内),403001122
DOC_EXCHANGE_PROCESS_NOT_EXIST,0x0000101AL,发布内外网数据交换流程失败(已被关闭),403001123
NETWORK_CANOT_ARRIVE,0x0000102BL,无法连到内外网数据交换处理服务,403001124
DOC_EXCHANGE_SERVICE_NOT_REGISTER,0x0000102CL,内外网数据交换处理服务未注册,403001126
DOC_EXCHANGE_RECV_AREA_NOT_EXIST,0X00001030L,内外网数据交换接收区不存在,403001199
DOC_EXCHANGE_INVALID_DST_DOC_NAME,0X0000102EL,内外网数据交换目的位置不合法,403001200
FAILED_TO_CREATE_DB_INVITION_MANANGER,0x0000017DL,无法创建dbinvition实例,500000000

DOCID_NOT_VALID,0x0000017EL,文档id不合法,400000000
DOCID_NOT_EXIST,0x0000017FL,文档不存在,404001024
INVITION_HAS_EXIST,0x00000180L,共享邀请链接已存在,403001134
INVITION_NOT_EXIST,0x00000181L,共享邀请链接不存在,404001025
INVALID_PERM_END_TIME_AHEAD,0x00000182L,权限有效期限已经早于服务器的当前时间,400001015
DOCUMENT_OWNERS_NOT_EXIST,0x00000184L,文档所有者不存在,404001026
USER_HAS_NO_PERM,0x00000185L,用户不在该文档权限共享范围内,403001135
REFRESH_TOKEN_EXPIRED,0x00000186L,refresh token已经过期,401001034
EACHTTP_GET_LINK_TEMPLATE_ERROR,0x00000187L,获取内外链模板信息失败,500000000
GET_SITE_INFO_ERROR,0x00000189L,获取站点信息失败,500000000
FAILED_TO_CREATE_XPCOM_INSTANCE,0x0000018AL,XPCOM 组件对象创建失败,500000000

USER_DOC_CANNOT_LINK_SHARE,0x00000191L,您没有共享个人文档权限，无法进行权限配置,403001156
GET_SHARE_DOC_STATUS_ERROR,0x00000193L,获取共享文档开关状态失败,500000000
USER_DOC_CANNOT_FIND_SHARE,0x00000196L,您没有共享个人文档权限，无法开启发现共享,403001160
GET_RETAIN_FILE_STATUS_ERROR,0x0000019AL,获取文件留底开关状态失败,500000000

SET_CSF_LEVEL_ERROR,0x0000019BL,设置文件(夹)密级失败,500000000
CHECK_PROCESS_SCOPE_ERROR,0x0000019EL,检查流程可见性失败,500000000
GET_GLOBAL_CLIENT_STATUS_ERROR,0x000001ABL,获取全局的客户端HTTPS协议状态失败,500000000
GET_HOST_NAME_ERROR,0x000001ACL,获取内外网映射地址失败,500000000
GET_GLOBAL_PORT_ERROR,0x000001ADL,获取web_client的全局端口失败,500000000
ERR_LOGIN_IDCARD_FORBID,0x000001AEL,管理员已禁止使用身份证登录,401001051

INVALID_LINK_PERM,0x01000043L,非法内外链配置参数,500000000
USER_FREEZED,0x01000047L,用户已被冻结,403001171
DOC_CREATOR_FREEZED,0x01000048L,文档创建者已被冻结,403001172
USER_NOT_REAL_NAME_AUTH,0x01000051L,用户未实名认证,403001179
DOC_CREATOR_NOT_REAL_NAME_AUTH,0x01000052L,文档创建者未实名认证,403001180
FILE_CSF_LEVEL_IS_NOT_SET,0x01000187L,文件密级为空,403002015
USER_CSF_LEVEL_LOWER_THAN_FILE,0x01000109L,授权用户密级低于文件密级,403001066
ACCESSOR_ID_NOT_EXISTS,0x01000017L,访问者id不存在,403001008

CALL_FUNCTION_ON_NOT_MASTER_NODE_ERROR,0x00000175L,只能在应用主节点调用该功能,500000000

FAILED_TO_CREATE_OSS_CLIENT,0x00000176L,无法创建ossclient实例,500000000
FAILED_TO_GET_SERVER_VERSION,0x00000177L,获取服务器版本信息失败,500000000
FAILED_TO_GET_API_VERSION,0x00000178L,获取API版本信息失败,500000000

FAILED_TO_CREATE_ETS_OSS_MANAGER,0x00000179L,无法创建ncIETSOSSConfDBMgr实例,500000000

USER_CANNOT_OPEN_LINK,0x00000200L,用户不能开启匿名共享,403001063
INVALID_PERM_TYPE,0x00000201L,文件匿名共享无法设置上传权限,400000000
INVALID_TIME_FORMAT,0x00000202L,时间格式不合法,400000000
USER_DOC_CANNOT_ANONYMOUS_SHARE,0x00000208L,没有给匿名用户共享的权限,403001162
INVALID_PARAMETER, 0x00000209L,参数未设置或者非法,400000000
